chutes	40	(Left=1)	
chute	Side	front	max_nrc
1	1	1	7
2	1	2	7
3	1	3	7
4	1	4	7
5	1	5	7
6	1	6	7
7	1	7	7
8	1	8	7
9	1	9	7
10	1	10	7
11	1	11	7
12	1	12	7
13	1	13	7
14	1	14	7
15	1	15	7
16	1	16	7
17	1	17	7
18	1	18	4
19	1	19	4
20	1	20	4
21	0	1	7
22	0	2	7
23	0	3	7
24	0	4	7
25	0	5	7
26	0	6	7
27	0	7	7
28	0	8	7
29	0	9	7
30	0	10	7
31	0	11	7
32	0	12	7
33	0	13	7
34	0	14	7
35	0	15	7
36	0	16	7
37	0	17	7
38	0	18	4
39	0	19	4
40	0	20	4
Destinations	27	(Blocked=1)																									
dep	AAA	BBB	CCC	DDD	EEE	FFF	GGG	HHH	III	JJJ	KKK	LLL	MMM	NNN	OOO	PPP	QQQ	RRR	SSS	TTT	UUU	VVV	WWW	XXX	XYZ	YYY	ZZZ
AAA	0	1	1	1	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	1
BBB	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1
CCC	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
DDD	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1
EEE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
FFF	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
GGG	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1
HHH	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
III	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
JJJ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0
KKK	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LLL	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	1	1	1	0	1	0	0	0	0
MMM	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1
NNN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
OOO	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
PPP	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
QQQ	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RRR	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	1	1
SSS	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0
TTT	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UUU	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
VVV	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
WWW	0	0	0	1	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1
XXX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XYZ	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YYY	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	1
ZZZ	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0
Dest/shifts	235	(Left=1)
to	shift	Side
AAA	1	1
AAA	2	1
AAA	3	1
AAA	4	1
AAA	5	1
AAA	6	1
AAA	7	0
AAA	8	0
AAA	9	0
BBB	1	1
BBB	2	1
BBB	3	1
BBB	4	1
BBB	5	1
BBB	6	1
BBB	7	0
BBB	8	0
BBB	9	0
CCC	1	1
CCC	2	1
CCC	3	1
CCC	4	1
CCC	5	0
CCC	6	0
CCC	7	0
CCC	8	0
CCC	9	0
DDD	1	1
DDD	2	1
DDD	3	1
DDD	4	1
DDD	5	1
DDD	6	1
DDD	7	1
DDD	8	1
DDD	9	1
EEE	1	1
EEE	2	1
EEE	3	1
EEE	4	1
EEE	5	0
EEE	6	0
EEE	7	0
EEE	8	0
FFF	1	1
FFF	2	1
FFF	3	1
FFF	4	1
FFF	5	0
FFF	6	0
FFF	7	0
FFF	8	0
GGG	1	0
GGG	2	0
GGG	3	0
GGG	4	0
GGG	5	0
GGG	6	0
GGG	7	0
HHH	1	0
HHH	2	0
HHH	3	0
HHH	4	0
HHH	5	0
HHH	6	0
HHH	7	0
HHH	8	0
HHH	9	0
HHH	10	0
III	1	1
III	2	1
III	3	1
III	4	1
III	5	0
III	6	0
III	7	0
III	8	0
III	9	0
JJJ	1	0
JJJ	2	0
JJJ	3	0
JJJ	4	0
JJJ	5	0
JJJ	6	0
JJJ	7	0
JJJ	8	0
JJJ	9	0
KKK	1	1
KKK	2	1
KKK	3	1
KKK	4	1
KKK	5	0
KKK	6	0
KKK	7	0
KKK	8	0
KKK	9	0
KKK	10	0
LLL	1	1
LLL	2	1
LLL	3	1
LLL	4	1
LLL	5	1
LLL	6	1
LLL	7	1
LLL	8	1
LLL	9	1
MMM	1	1
MMM	2	1
MMM	3	1
MMM	4	1
MMM	5	1
MMM	6	1
MMM	7	1
MMM	8	1
MMM	9	1
MMM	10	1
NNN	1	1
NNN	2	1
NNN	3	1
NNN	4	1
NNN	5	0
NNN	6	0
NNN	7	0
NNN	8	0
NNN	9	0
OOO	1	1
OOO	2	1
OOO	3	1
OOO	4	1
OOO	5	0
OOO	6	0
OOO	7	0
OOO	8	0
OOO	9	0
PPP	1	0
PPP	2	0
PPP	3	0
PPP	4	0
PPP	5	0
PPP	6	0
PPP	7	0
PPP	8	0
PPP	9	0
QQQ	1	1
QQQ	2	1
QQQ	3	1
QQQ	4	1
QQQ	5	1
QQQ	6	1
QQQ	7	1
QQQ	8	1
QQQ	9	1
RRR	1	0
RRR	2	0
RRR	3	0
RRR	4	0
RRR	5	0
RRR	6	0
RRR	7	0
RRR	8	0
RRR	9	0
SSS	1	1
SSS	2	1
SSS	3	1
SSS	4	1
SSS	5	0
SSS	6	0
SSS	7	0
TTT	1	1
TTT	2	1
TTT	3	1
TTT	4	1
TTT	5	1
TTT	6	1
TTT	7	1
TTT	8	1
TTT	9	1
UUU	1	0
UUU	2	0
UUU	3	0
UUU	4	0
UUU	5	0
UUU	6	0
UUU	7	0
VVV	1	0
VVV	2	0
VVV	3	0
VVV	4	0
VVV	5	0
VVV	6	0
VVV	7	0
VVV	8	0
VVV	9	0
WWW	1	1
WWW	2	1
WWW	3	1
WWW	4	1
WWW	5	0
WWW	6	0
WWW	7	0
WWW	8	0
WWW	9	0
XXX	1	0
XXX	2	0
XXX	3	0
XXX	4	0
XXX	5	0
XXX	6	0
XYZ	1	1
XYZ	2	1
XYZ	3	1
XYZ	4	1
XYZ	5	0
XYZ	6	0
XYZ	7	0
XYZ	8	0
XYZ	9	0
XYZ	10	0
YYY	1	0
YYY	2	0
YYY	3	0
YYY	4	0
YYY	5	0
YYY	6	0
YYY	7	0
YYY	8	0
YYY	9	0
ZZZ	1	1
ZZZ	2	1
ZZZ	3	1
ZZZ	4	1
ZZZ	5	1
ZZZ	6	1
ZZZ	7	1
ZZZ	8	1
Dest/shift	235	
to	shift	expected rollcontainers
AAA	1	3
AAA	2	4
AAA	3	5
AAA	4	3
AAA	5	4
AAA	6	4
AAA	7	3
AAA	8	3
AAA	9	1
BBB	1	8
BBB	2	9
BBB	3	8
BBB	4	6
BBB	5	4
BBB	6	3
BBB	7	3
